version,suite,task_id,cache_phase,success,input_tokens,cached_input_tokens,cache_write_tokens,output_tokens,reasoning_tokens,first_event_ms,first_reasoning_ms,first_visible_ms,successful_attempt_ms,end_to_end_ms,retry_count,truncated,error_429,error_5xx,error_timeout,catalog_generation,catalog_digest,stable_prefix_digest,dynamic_suffix_digest,theoretical_reusable_tokens,tool_call_count,task_success,route_ok,false_no_skill_claim,explicit_skill_missed,visible_chars,visible_words,lines,paragraphs,list_items,markdown_headings,bold_spans
candidate,micro,group_3,warm,True,12653,1280,0,74,17,2419.994,2419.994,2826.495,4614.271,4614.297,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,78f1356c59fffaeaa0192ddeb53cc65df635300ac3c5d3c88071f96992d3eebf,,0,,,,,307,43,1,1,0,0,0
candidate,micro,group_3,warm,True,12653,12544,0,96,39,1598.666,1598.666,2243.955,3807.66,3807.699,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,78f1356c59fffaeaa0192ddeb53cc65df635300ac3c5d3c88071f96992d3eebf,,0,,,,,324,43,1,1,0,0,0
baseline,micro,group_3,warm,True,13303,13184,0,75,23,1156.42,1156.42,1688.591,3280.243,3280.265,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,78f1356c59fffaeaa0192ddeb53cc65df635300ac3c5d3c88071f96992d3eebf,,0,,,,,297,40,1,1,0,0,0
candidate,micro,group_4,warm,True,12651,12544,0,168,109,1558.689,1558.689,3415.772,4700.746,131608.575,1,False,0,0,1,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,42f539fa8e38b3d0a2d20b2fd2b9d8b047c62e56baf0735be5da64b9fcd0f8b5,,0,,,,,357,49,1,1,0,0,0
baseline,micro,group_4,warm,True,13301,128,0,256,256,2433.274,2433.274,,7261.218,7261.241,0,True,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,42f539fa8e38b3d0a2d20b2fd2b9d8b047c62e56baf0735be5da64b9fcd0f8b5,,0,,,,,0,0,0,0,0,0,0
baseline,micro,group_4,warm,True,13301,13184,0,256,256,1954.208,1954.208,,6064.039,6064.063,0,True,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,42f539fa8e38b3d0a2d20b2fd2b9d8b047c62e56baf0735be5da64b9fcd0f8b5,,0,,,,,0,0,0,0,0,0,0
candidate,micro,group_4,warm,True,12651,12544,0,142,75,2351.33,2351.33,3512.621,6304.374,129082.167,1,False,0,0,1,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,42f539fa8e38b3d0a2d20b2fd2b9d8b047c62e56baf0735be5da64b9fcd0f8b5,,0,,,,,355,51,1,1,0,0,0
baseline,micro,group_5,warm,True,13301,128,0,73,16,2688.533,2688.533,3573.492,4224.693,4224.717,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,1e4f8fdd2f50701009d5fee84de6c4fbb1deeb6cbd13eec8bb625f229782f295,,0,,,,,313,46,1,1,0,0,0
candidate,micro,group_5,warm,True,12651,1280,0,61,17,3110.002,3110.002,3460.55,4562.052,4562.06,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,1e4f8fdd2f50701009d5fee84de6c4fbb1deeb6cbd13eec8bb625f229782f295,,0,,,,,271,36,1,1,0,0,0
candidate,micro,group_5,warm,True,12651,12544,0,85,27,1934.953,1934.953,2390.967,3621.559,3621.591,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,1e4f8fdd2f50701009d5fee84de6c4fbb1deeb6cbd13eec8bb625f229782f295,,0,,,,,319,48,1,1,0,0,0
baseline,micro,group_5,warm,True,13301,13184,0,69,20,1713.212,1713.212,2088.43,3123.127,3123.156,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,1e4f8fdd2f50701009d5fee84de6c4fbb1deeb6cbd13eec8bb625f229782f295,,0,,,,,288,42,1,1,0,0,0
baseline,continuity,session_1_turn_1,cold,True,13307,128,0,81,40,4042.982,4042.982,4263.156,5012.141,5012.161,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,f177cb759c81ff6320d713bd2c69e619a327b9c5f24b97c2df4191e30ce0f4a6,11415,0,,,,,218,29,1,1,0,0,1
